OBJECTID,CID,class,cell concentration (cells/mL),POINT_X,POINT_Y,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,,b3 ref,b5 ref,sa index
12,1,snow,,-121.6925732,48.85424061,28752,29609,29292,30290,28203,28458,27450,26300,26167,22575,,0.893920898,0.860687256,1.076813105
13,1,snow,,-121.6950526,48.853904,28843,30064,30574,29893,28264,27582,27472,26203,26369,23510,,0.933044434,0.862548828,1.120754316
14,1,snow,,-121.694322,48.85431823,26016,26550,26204,26642,26227,25885,25430,23870,24616,21170,,0.799682617,0.800384521,1.037846494
15,1,snow,,-121.6989679,48.8542019,20960,22720,22839,22754,22302,23064,22850,22306,22183,20536,,0.696990967,0.680603027,1.066599408
16,1,other,,-121.689571,48.8541838,1352,1229,1424,1965,1618,1531,2284,2803,2967,4401,,0.043457031,0.049377441,1.201483313
17,1,snow,,-121.6951512,48.85288253,31975,32631,32963,32382,29764,29819,27884,26485,26152,22853,,1.005950928,0.908325195,1.14614232
18,1,snow,,-121.6985983,48.85362152,28876,28522,29570,29098,27123,26818,26127,24861,26223,22111,,0.902404785,0.827728271,1.130144895
19,1,snow,,-121.6954263,48.85339639,36063,37024,35802,36232,33760,33272,33097,30823,31132,26654,,1.092590332,1.030273438,1.096254739
20,1,snow,,-121.6965223,48.85481236,26940,26820,27651,26634,26578,25717,25733,25947,24300,22182,,0.843841553,0.811096191,1.079672662
21,1,snow,,-121.6983942,48.85324561,31345,32091,32790,32336,30651,29153,29303,27383,27799,23895,,1.000671387,0.935394287,1.107217383
22,1,snow,,-121.6962507,48.85334607,28713,30272,31018,31045,30034,29507,29696,29058,29084,25821,,0.946594238,0.916564941,1.069783579
23,1,snow,,-121.690968,48.85332767,30009,30841,31826,32446,30373,30099,29866,28692,27978,24835,,0.971252441,0.9269104,1.084978106
24,1,snow,,-121.6972383,48.85342581,29004,30567,32045,31027,32074,29061,27938,27874,28023,24905,,0.977935791,0.978820801,1.03440232
25,1,snow,,-121.6938549,48.85275995,31276,34143,32850,33854,31003,31559,31353,30862,30141,26909,,1.002502441,0.946136475,1.096620327
26,1,snow,,-121.6954436,48.85339607,33941,36230,36133,35690,33339,33329,32045,30909,30823,27561,,1.10269165,1.017425537,1.120224962
27,1,snow,,-121.6905565,48.85405448,22274,22494,24283,24157,23683,23403,23462,22154,23020,20144,,0.74105835,0.722747803,1.066595448
28,1,snow,,-121.6965994,48.85332939,29550,30769,31194,31531,31326,29563,28510,28067,27804,24694,,0.951965332,0.955993652,1.031392454
29,1,snow,,-121.6915533,48.85469754,26169,27577,26678,26825,25987,26434,25356,24466,24459,22410,,0.814147949,0.793060303,1.066036095
30,1,snow,,-121.6930496,48.85429302,26098,26901,27587,26867,26817,26114,25703,25255,24561,21174,,0.841888428,0.818389893,1.067616064
31,1,snow,,-121.6964386,48.85433367,23606,25690,25548,25681,24761,24889,24152,23864,23536,20416,,0.779663086,0.755645752,1.072270102
32,1,snow,,-121.6969403,48.85296738,32537,32936,32535,33192,32684,31863,30110,29166,29080,25839,,0.992889404,0.997436523,1.030388569
33,1,snow,,-121.6947382,48.85333809,30485,32313,32622,32067,31037,30330,30075,29253,28467,25575,,0.995544434,0.947174072,1.087926024
34,1,snow,,-121.6961137,48.85372513,29449,31317,31141,30677,30348,29741,29274,27460,28030,24858,,0.9503479,0.926147461,1.062848952
35,1,snow,,-121.6975876,48.85339699,28607,30443,30661,30182,29211,29163,28378,27447,27497,24650,,0.935699463,0.891448975,1.087458149
36,1,snow,,-121.6925148,48.85409724,26897,28295,28351,26682,26997,26862,25612,25751,25628,22156,,0.865203857,0.823883057,1.089363263
37,1,snow,,-121.6920021,48.85361544,30073,31957,31120,31072,30487,29371,28696,28212,26798,24207,,0.949707031,0.930389404,1.057300489
38,1,snow,,-121.6965102,48.85382135,28968,29467,31061,29916,28920,29076,27724,27353,27319,24351,,0.947906494,0.882568359,1.112508299
39,1,snow,,-121.691835,48.85307054,21943,22132,23210,23995,22699,22653,22541,22316,21540,20000,,0.708312988,0.692718506,1.064616062
40,1,other,,-121.6985115,48.85478076,2151,2256,2786,3034,2808,3000,3169,3338,3020,4031,,0.085021973,0.085693359,1.187051282
41,1,other,,-121.6909389,48.85459201,2232,2254,2708,2918,2062,2175,2300,2424,2178,2912,,0.082641602,0.062927246,1.577924345
42,1,snow,,-121.6916842,48.85332243,28533,30731,29917,29941,29988,28406,29318,27224,27523,24380,,0.912994385,0.915161133,1.03397559
43,1,other,,-121.6991245,48.85486391,1957,2140,2377,2634,2209,2545,3225,3397,3765,5364,,0.072540283,0.06741333,1.320081485
44,1,snow,,-121.6923665,48.8544638,25353,27186,26720,26622,25750,25319,25408,23949,23514,20195,,0.815429688,0.785827637,1.077511456
45,1,snow,,-121.6923349,48.85254322,35640,37512,37600,37999,34428,33784,32763,31901,30615,26638,,1.147460938,1.05065918,1.128253747
46,1,snow,,-121.6898725,48.85489072,22527,23445,23244,23407,22117,22451,21433,21838,20547,18467,,0.709350586,0.674957275,1.094199032
47,1,snow,,-121.6929071,48.85257723,31905,33514,33009,32833,32877,32301,31419,31006,30809,27944,,1.007354736,1.003326416,1.039045533
48,1,snow,,-121.6904504,48.85427256,21574,22547,23177,22851,22901,22956,22417,21662,21750,19823,,0.707305908,0.698883057,1.053755731
49,1,snow,,-121.6973345,48.85471657,23300,25407,25510,25351,24349,23772,23938,22881,23007,20726,,0.778503418,0.74307251,1.088821718
50,1,snow,,-121.6952759,48.85355255,26724,28883,29311,28129,28066,28998,27499,26960,26848,24226,,0.894500732,0.856506348,1.082759923
51,1,snow,,-121.6944777,48.8542493,28995,29181,29965,29024,28047,26665,26547,25255,25704,22865,,0.914459229,0.855926514,1.107277784
52,1,other,,-121.6928132,48.85333132,4022,4000,4908,5270,3700,3829,3623,4204,3580,4450,,0.149780273,0.112915039,1.485859459
53,1,snow,,-121.6982631,48.8532686,29619,31359,31897,31814,29196,29457,28376,27825,26988,23928,,0.973419189,0.890991211,1.131198109
54,1,snow,,-121.6948476,48.85349039,28364,30344,30275,30327,28501,28246,27297,26719,26815,24117,,0.923919678,0.869781494,1.100734009
55,1,snow,,-121.6945766,48.85394382,29983,31783,31284,29745,29150,28878,27514,27084,26730,23400,,0.954711914,0.889587402,1.111533448
56,1,snow,,-121.6959051,48.85270871,29190,31361,31804,31629,29441,29750,28433,28174,28322,25358,,0.970581055,0.898468018,1.118562549
57,1,snow,,-121.696783,48.85348622,32126,32450,33038,33156,31056,30743,29465,28291,27803,24545,,1.008239746,0.947753906,1.100923493
58,1,snow,,-121.6911611,48.85386833,28808,30086,29622,30872,28716,28777,28104,26656,26182,22733,,0.903991699,0.876342773,1.069297952
59,1,snow,,-121.6895307,48.85438965,23683,24939,25149,25941,26073,24239,24877,23078,23332,20519,,0.767486572,0.795684814,1.002703947
60,1,snow,,-121.6933588,48.8534927,27836,28404,30529,28444,28460,27693,28132,26540,27377,24709,,0.931671143,0.868530273,1.11142305
61,1,snow,,-121.698357,48.85500617,20704,21593,22134,22298,21666,22010,21390,20461,20247,17394,,0.675476074,0.661193848,1.064718914
62,1,snow,,-121.6959872,48.85277237,36078,37887,36583,37193,34126,34368,33652,32371,31899,27578,,1.116424561,1.041442871,1.107840942
63,1,snow,,-121.6987847,48.85371491,28670,29927,30418,29579,27828,28277,26940,26060,25791,22859,,0.928283691,0.849243164,1.132595947
64,1,snow,,-121.6911953,48.85302193,29041,29852,30321,30911,29712,29539,29372,28711,28166,25202,,0.925323486,0.906738281,1.057449515
65,1,other,,-121.6944001,48.85447657,2754,2626,2949,3263,2715,2750,2822,3251,2729,3647,,0.089996338,0.082855225,1.288950276
66,1,snow,,-121.6970163,48.85305471,30863,32649,33041,33655,32501,32213,31317,30748,30730,27382,,1.008331299,0.991851807,1.052070398
67,1,snow,,-121.6988985,48.85321529,31228,32891,32705,32753,30101,29257,28690,27133,27616,23403,,0.998077393,0.918609619,1.124567955
68,1,snow,,-121.6934913,48.85259141,31281,31496,33153,32151,31684,30673,30034,29388,29362,25824,,1.011749268,0.966918945,1.08280457
69,1,snow,,-121.6947335,48.85447581,26082,27359,27044,26766,25837,25443,25010,24032,24006,20931,,0.825317383,0.788482666,1.086674149
70,1,snow,,-121.6960168,48.85419634,30008,31736,31775,31623,29208,29284,28239,26982,27165,23526,,0.969696045,0.891357422,1.126472884
71,1,snow,,-121.6973325,48.85455877,22700,23573,24075,24017,24122,23854,23575,23592,24263,21127,,0.734710693,0.73614502,1.038389022
72,1,snow,,-121.6911542,48.85479036,24067,25597,25645,24734,24768,24527,23817,23679,22890,20642,,0.782623291,0.755859375,1.075961725
73,1,other,,-121.6933448,48.85463014,2205,2422,2581,2909,2472,2216,2406,2381,2107,2791,,0.078765869,0.075439453,1.26381068
74,1,snow,,-121.6961675,48.85397932,26899,27614,27509,27773,27499,26296,25675,25062,24856,22474,,0.839508057,0.839202881,1.038245027
75,1,snow,,-121.6912264,48.85440082,20865,22084,22723,22743,22308,22137,22062,20840,21375,18801,,0.693450928,0.680786133,1.061008607
76,1,snow,,-121.690549,48.85382344,28962,30764,29590,30138,27784,27963,27201,25640,26783,23072,,0.903015137,0.847900391,1.103992226
77,1,snow,,-121.6940808,48.85391621,29324,29998,30372,29235,27769,27853,26899,25822,25465,22359,,0.926879883,0.847442627,1.133312687
78,1,snow,,-121.6969762,48.85329759,29372,31564,31680,30688,29749,29228,29252,28163,27370,24452,,0.966796875,0.907867432,1.102730176
79,1,snow,,-121.6972423,48.85284755,29729,30729,31233,31784,30599,30691,29473,28603,28111,25850,,0.953155518,0.933807373,1.057197294
80,1,snow,,-121.6943959,48.85265825,34299,35000,35999,35141,34167,34146,33214,31755,32175,27673,,1.098602295,1.042694092,1.08907718
81,1,snow,,-121.6933006,48.85396426,26045,27998,27844,28000,26531,26124,25699,24259,24397,21205,,0.849731445,0.809661865,1.089005315
82,1,snow,,-121.6974953,48.85417517,27977,28395,28712,29074,26983,27250,26035,25075,24869,21875,,0.876220703,0.823455811,1.103574843
83,1,snow,,-121.6962519,48.85287022,34855,34376,34446,34156,32823,31257,30535,30128,28814,25181,,1.051208496,1.001678467,1.08541084
84,1,snow,,-121.6954178,48.85309979,33302,34990,36219,34308,33865,34345,33020,31734,30938,28806,,1.105316162,1.033477783,1.105415621
85,1,snow,,-121.6945023,48.85447521,24059,26099,24242,25658,24701,24354,24232,23061,24096,20890,,0.739807129,0.753814697,1.020944901
86,1,snow,,-121.6953022,48.8535176,31891,33276,32644,32655,31696,30572,28726,28413,28518,25134,,0.99621582,0.967285156,1.066014639
87,1,snow,,-121.6918032,48.85309585,34142,35568,35903,36185,33668,32393,32206,30952,30598,26861,,1.095672607,1.02746582,1.102310206
88,1,snow,,-121.6936627,48.85255918,32980,34710,34356,34872,33035,32118,30831,30045,29687,26527,,1.048461914,1.008148193,1.075666414
89,1,snow,,-121.6984675,48.85332372,31589,31509,31691,31935,29187,29199,27563,27524,27034,22430,,0.967132568,0.890716553,1.124347826
90,1,snow,,-121.6918668,48.85302959,32745,34216,35271,34598,32798,31860,31336,29700,29814,26268,,1.076385498,1.000915527,1.111895238
91,1,snow,,-121.6914307,48.85297088,33388,34213,35286,34387,32756,33133,31699,29863,30816,26572,,1.076843262,0.999633789,1.113788008
92,1,snow,,-121.691947,48.85435659,26430,27479,27572,27047,26916,26782,25704,24894,25266,21889,,0.841430664,0.821411133,1.06312082
93,1,other,,-121.6921542,48.85320049,6902,6485,7586,7808,7099,7181,7264,7232,6754,7382,,0.231506348,0.216644287,1.159211157
94,1,snow,,-121.6898386,48.85438654,30133,31287,30452,30911,28563,28548,26744,25988,25885,22623,,0.929321289,0.871673584,1.104665476
95,1,snow,,-121.6930835,48.85351892,29699,30027,30711,30523,30043,29634,28345,27329,27465,24073,,0.937225342,0.9168396,1.059040043
96,1,snow,,-121.6953598,48.85369694,28250,27998,28369,27742,27162,27040,28225,25631,26250,23059,,0.865753174,0.828918457,1.083421692
97,1,snow,,-121.6954582,48.85262789,33172,35306,34690,33878,32007,31385,32120,30062,28919,25730,,1.058654785,0.976776123,1.120858562
98,1,snow,,-121.692005,48.85471919,24465,25955,25918,25023,24816,25255,24506,23690,22799,20413,,0.79095459,0.757324219,1.085101547
